,City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
104,541951,Krasnozatonskiy,75,RU,1612115590,93,61.6758,50.9794,28.4,8.95
105,1521762,Kurchum,52,KZ,1612115590,88,48.5722,83.6542,-1.79,2.95
106,986717,Kruisfontein,0,ZA,1612115590,72,-34.0033,24.7314,73.0,8.99
107,2074865,Carnarvon,19,AU,1612115590,61,-24.8667,113.6333,84.2,18.41
108,3985710,Cabo San Lucas,75,MX,1612115590,78,22.8909,-109.9124,69.8,5.75
109,2070998,Geraldton,0,AU,1612115317,73,-28.7667,114.6,71.6,5.75
110,4781708,Richmond,90,US,1612115483,93,37.5538,-77.4603,33.01,10.36
111,2022572,Khatanga,48,RU,1612115591,79,71.9667,102.5,-44.18,5.23
112,2119283,Zyryanka,100,RU,1612115591,83,65.75,150.85,-29.36,17.25
113,3423146,Ilulissat,90,GL,1612115591,61,69.2167,-51.1,8.6,21.85
114,1701054,Marawi,100,PH,1612115591,90,7.9986,124.2928,73.99,2.13
115,3899695,Ancud,0,CL,1612115592,46,-41.8697,-73.8203,69.8,8.05
116,2034440,Tieli,100,CN,1612115592,92,46.95,128.05,-1.37,6.53
117,4513583,Hamilton,90,US,1612115592,93,39.1834,-84.5333,37.99,8.05
118,2514651,Los Llanos de Aridane,20,ES,1612115362,73,28.6585,-17.9182,68.0,13.8
119,3840092,Puerto Madryn,18,AR,1612115592,28,-42.7692,-65.0385,78.87,22.03
120,2027042,Batagay-Alyta,100,RU,1612115334,82,67.8006,130.4114,-32.85,1.99
121,187896,Mandera,72,KE,1612115592,20,3.9366,41.867,86.58,12.77
122,3572906,Andros Town,40,BS,1612115592,50,24.7,-77.7667,78.8,13.8
123,6144602,Sexsmith,75,CA,1612115592,84,55.35,-118.786,-4.0,4.61
124,5364271,Laguna,75,US,1612115592,54,38.421,-121.4238,55.99,6.91
125,2842143,Salzhemmendorf,93,DE,1612115593,76,52.067,9.5872,28.99,4.29
126,5850554,Makakilo City,40,US,1612115593,83,21.3469,-158.0858,71.6,3.44
127,3573374,The Valley,20,AI,1612115499,65,18.217,-63.0578,84.2,17.27
128,2082539,Merauke,100,ID,1612115593,88,-8.4667,140.3333,79.21,12.64
129,4033356,Tiarei,40,PF,1612115593,65,-17.5333,-149.3333,80.6,3.44
130,3443061,Chui,100,UY,1612115593,85,-33.6971,-53.4616,69.1,16.98
131,1507390,Dikson,35,RU,1612115594,78,73.5069,80.5464,-27.85,8.7
132,3453060,Pontes e Lacerda,81,BR,1612115594,53,-15.2261,-59.3353,88.75,5.82
133,5520552,Dumas,1,US,1612115594,46,35.8656,-101.9732,48.99,24.16
134,3418910,Upernavik,100,GL,1612115594,92,72.7868,-56.1549,0.46,8.72
135,1263911,Māndalgarh,0,IN,1612115595,29,25.2,75.1,60.78,5.57
136,1785738,Yuncheng,51,CN,1612115595,53,35.0231,110.9928,40.03,0.78
137,1861949,Kasamatsu,0,JP,1612115595,82,35.3686,136.764,33.01,4.23
138,1488903,Turukhansk,100,RU,1612115595,83,65.8167,87.9833,-14.6,10.76
139,5855927,Hilo,90,US,1612115595,88,19.7297,-155.09,66.2,5.75
140,1056899,Sambava,2,MG,1612115595,80,-14.2667,50.1667,79.95,8.1
141,4726521,San Patricio,1,US,1612115595,27,28.017,-97.5169,75.2,11.5
142,2136825,Isangel,69,VU,1612115595,81,-19.55,169.2667,78.01,13.58
143,366444,Tambura,1,SS,1612115596,26,5.6,27.4667,79.68,3.94
144,2641598,Newport,100,GB,1612115596,96,51.5877,-2.9984,37.0,1.01
145,3430443,Necochea,84,AR,1612115596,52,-38.5473,-58.7368,66.99,5.01
146,1622318,Waingapu,100,ID,1612115596,84,-9.6567,120.2641,78.26,11.59
147,3466704,Castro,98,BR,1612115310,75,-24.7911,-50.0119,73.36,10.51
148,5282297,Bethel,1,US,1612115322,53,41.3712,-73.414,23.0,3.2
149,780687,Berlevåg,90,NO,1612115596,93,70.8578,29.0864,26.6,8.05
150,3527115,Hidalgo,0,MX,1612115596,29,20.5,-99.0,71.19,13.13
151,1515029,Ulaangom,2,MN,1612115596,87,49.9811,92.0667,-8.36,2.04
152,2264557,Ponta do Sol,0,PT,1612115597,67,32.6667,-17.1,63.0,4.0
153,2018553,Ol'ga,100,RU,1612115597,93,43.7444,135.2892,10.17,3.53
154,2035707,Mujiayingzi,0,CN,1612115597,88,42.1167,118.7833,17.38,16.73
155,2180815,Tuatapere,83,NZ,1612115597,86,-46.1333,167.6833,51.49,4.97
156,3698304,Chimbote,4,PE,1612115597,61,-9.0853,-78.5783,77.43,12.44
157,5983720,Iqaluit,75,CA,1612115597,71,63.7506,-68.5145,-7.6,6.35
158,3096880,Kalisz,0,PL,1612115598,95,51.7611,18.091,23.52,6.4
159,3449176,São Francisco,30,BR,1612115598,44,-15.9486,-44.8644,89.58,2.64
160,1106643,Quatre Cocos,75,MU,1612115598,78,-20.2078,57.7625,81.0,10.36
161,1687186,Sarangani,97,PH,1612115598,78,5.4033,125.4636,81.52,14.9
162,3168633,Salò,67,IT,1612115598,93,45.6086,10.531,46.99,4.61
163,2336589,Jalingo,18,NG,1612115598,14,8.8833,11.3667,85.59,3.91
164,2121025,Srednekolymsk,100,RU,1612115321,85,67.45,153.6833,-27.99,6.49
165,934322,Mahébourg,75,MU,1612115598,78,-20.4081,57.7,80.6,10.36
166,866062,Iskateley,94,RU,1612115598,95,67.6803,53.1512,8.8,8.55
167,1492566,Severo-Yeniseyskiy,74,RU,1612115598,83,60.3725,93.0408,-27.85,2.57
168,1899102,Nagato,75,JP,1612115599,81,34.3833,131.2,44.6,3.44
169,58933,Garoowe,0,SO,1612115599,73,8.4054,48.4845,68.32,17.07
170,2120048,Ust-Nera,88,RU,1612115599,73,64.5667,143.2,-33.21,6.96
171,2028164,Deputatsky,98,RU,1612115599,86,69.3,139.9,-33.59,1.48
172,2640351,Peterhead,90,GB,1612115599,86,57.5058,-1.7981,33.8,3.44
173,6111862,Port Hardy,75,CA,1612115599,100,50.6996,-127.4199,44.6,3.44
174,556268,Ostrovnoy,94,RU,1612115599,94,68.0531,39.5131,13.15,6.53
175,1490256,Talnakh,37,RU,1612115599,72,69.4865,88.3972,-26.75,9.57
176,934479,Grand Gaube,49,MU,1612115599,75,-20.0064,57.6608,81.0,5.99
177,5870133,Nome,1,US,1612115599,65,64.5011,-165.4064,-5.01,4.61
178,3936088,Lluta,40,PE,1612115600,24,-16.0147,-72.0142,69.8,6.91
179,3014383,Guéret,90,FR,1612115600,100,46.1667,1.8667,48.99,10.29
180,1528606,Kemin,88,KG,1612115600,68,42.7846,75.6892,35.83,8.86
181,2171099,Codrington,33,AU,1612115305,87,-38.2667,141.9667,52.05,7.29
182,1123004,Taloqan,100,AF,1612115600,71,36.7361,69.5345,46.51,7.14
183,2881062,Langenhagen,97,DE,1612115600,100,52.45,9.75,28.0,4.61
184,6089245,Norman Wells,90,CA,1612115600,76,65.282,-126.8329,-20.2,3.44
185,1185251,Lālmohan,0,BD,1612115601,43,22.3384,90.7419,63.21,6.26
186,2033225,Zhalantun,100,CN,1612115601,89,48.0,122.7167,-8.37,11.72
187,5969025,Haines Junction,86,CA,1612115601,84,60.7522,-137.5108,-13.0,1.74
188,1498087,Nadym,100,RU,1612115601,92,65.5333,72.5167,-3.21,7.16
189,2377457,Nouadhibou,69,MR,1612115601,68,20.931,-17.0347,69.8,19.57
190,2194098,Ahipara,0,NZ,1612115601,83,-35.1667,173.1667,56.71,2.86
191,3013748,Hauterive,90,FR,1612115601,62,46.0901,3.4459,53.6,13.8
192,5880054,Barrow,90,US,1612115601,76,71.2906,-156.7887,-18.4,9.22
193,363656,Yambio,65,SS,1612115601,26,4.5721,28.3955,80.29,3.58
194,3393692,Itarema,76,BR,1612115602,63,-2.9248,-39.9167,86.52,16.69
195,876177,Luau,100,AO,1612115602,94,-10.7073,22.2247,68.13,2.8
196,2172880,Byron Bay,90,AU,1612115602,83,-28.65,153.6167,69.8,6.91
197,2638419,Scarborough,100,GB,1612115563,74,54.2797,-0.4044,37.0,5.99
198,3424901,Aasiaat,73,GL,1612115602,92,68.7098,-52.8699,-2.79,9.64
199,2738381,Lata,100,PT,1612115365,94,40.1629,-8.3327,60.01,3.0
200,4565090,Guánica,55,PR,1612115602,59,17.9716,-66.908,82.99,3.0
201,2122262,Palana,90,RU,1612115602,93,59.1167,159.9667,-1.21,15.46
202,3100984,Czersk,95,PL,1612115603,81,53.7959,17.9765,28.0,14.0
203,2629833,Husavik,0,IS,1612115603,85,66.0449,-17.3389,6.8,5.75
204,1651810,Airai,100,TL,1612115603,100,-8.9266,125.4092,61.3,3.4
205,5110365,Broome,100,US,1612115603,61,42.2506,-75.833,21.0,4.27
206,1253132,Vīrarājendrapet,20,IN,1612115604,85,12.2,75.8,64.11,2.59
207,1540711,Muravlenko,100,RU,1612115604,93,63.7898,74.523,-1.3,9.66
